fecha,area_km2
2013-03-22,295.70962959469387
2013-06-28,52.476958769673914
2013-07-23,275.62108736295863
2013-07-30,264.37316783407266
2013-08-08,281.6504093860763
2013-08-15,241.5329057809647
2013-08-31,76.81100045604033
2013-10-02,366.2799320239312
2013-11-03,364.8696146225785
2013-11-28,336.1752625126376
2013-12-05,368.6300114581611
2014-01-15,353.5877823411849
2014-01-22,378.2148075207982
2014-01-31,331.1162768660767
2014-02-16,362.63620687377585
2014-04-28,104.73044453855148
2014-05-07,727.9685354743581
2014-06-15,279.20301676871884
2014-07-26,329.15317576038086
2014-08-11,333.41437212477774
2014-08-27,335.45279411118076
2014-10-05,380.3996067381023
2014-10-14,354.84498622660396
2014-11-15,269.01456237181395
2015-02-19,307.7787013315462
2015-02-26,367.1713335202819
2015-03-30,367.4607364899472
2015-07-13,353.83396666761575
2015-07-29,342.91090852630555
2015-08-14,331.70724511184574
2015-09-06,320.86503815634404
2015-09-22,362.2398888620601
2015-10-01,276.61307070691106
2015-11-02,239.0637150783464
2015-12-27,370.0069418418269
2016-01-21,321.13650694882824
2016-01-28,213.1977853015204
2016-02-06,268.8148583454968
2016-02-13,362.6639504842767
2016-02-22,327.1430926772809
2016-02-29,365.4920507423111
2016-04-01,240.47982217303496
2016-06-04,336.40941868035947
2016-06-13,314.4009408721961
2016-06-29,323.28381794391885
2016-07-15,328.1917970539588
2016-09-08,307.1445478306849
2016-09-24,332.56934634542296
2016-10-26,341.618484331276
2016-11-20,293.4448470898557
2016-11-27,353.8032369951086
2016-12-13,355.3830572672644
2016-12-22,304.61555959186296
2017-01-23,333.3046445319645
2017-01-30,295.05551232532054
2017-02-08,297.8933696053367
2017-02-24,334.2469995002069
2017-03-19,346.59138888751875
2017-03-28,320.4943925123587
2017-04-20,312.89282520431124
2017-04-29,302.1143429295938
2017-06-16,315.91878006730775
2017-06-23,322.06094289657113
2017-07-18,299.2006461619068
2017-08-03,303.485557288643
2017-08-19,305.24884416862614
2017-08-26,179.57870067373716
2017-09-20,305.471592923349
2017-10-29,327.0988269254841
2017-11-07,303.7864454910347
2017-11-23,310.93489821922446
2017-11-30,321.5892457332511
2017-12-09,183.43142638557032
2018-01-10,305.7169811371692
2018-02-18,308.63089599552495
2018-03-31,292.14892288491006
2018-04-07,317.1353896130432
2018-04-16,305.44629940503705
2018-05-18,309.71205479857974
2018-06-03,296.4125692728868
2018-07-21,286.56997725686585
2018-07-28,128.67177797486525
2018-08-13,207.0707992309956
2018-10-09,306.014285315969
2018-12-19,296.70152247236706
2019-01-20,314.0035316881545
2019-01-29,294.2838113771574
2019-02-14,296.65062498775427
2019-02-21,247.67761158913643
2019-03-09,315.04884216761576
2019-04-19,284.7604562905779
2019-04-26,113.87557676790938
2019-05-21,299.88223598631794
2019-07-08,292.4954577481944
2019-08-09,282.5985170068229
2019-08-16,270.59786985483396
2019-09-17,281.8486392989787
2019-10-28,265.4762145638344
2019-11-04,291.8637858489258
2019-11-20,270.7678564871192
2019-12-15,255.2758571212833
2019-12-22,225.0295536758509
2020-02-24,262.8155084112908
2020-03-11,254.61598644906584
2020-03-27,271.82344327120364
2020-04-12,196.20624991129057
2020-05-07,240.9088956621776
2020-05-23,252.66369812976384
2020-06-08,257.0611793896137
2020-06-15,190.37452076834597
2020-07-10,259.45010345593596
2020-09-19,261.99961429205206
2020-10-05,232.73721648669385
2020-10-30,148.99582320523655
2020-12-01,218.70520285366285
2020-12-08,253.19587779404728
2021-01-25,242.64433805972493
2021-02-03,238.03160020694816
2021-02-10,229.52071927631025
2021-02-19,249.92007771958248
2021-02-26,153.46511104446208
2021-03-14,242.81213307073975
2021-04-08,227.14249147906497
2021-06-11,219.55944921704105
2021-07-20,46.64302781866216
2021-09-06,220.73525553538127
2021-10-08,101.58574417369528
2021-10-17,147.45533378552247
2021-11-11,176.777455008026
2021-11-18,186.4532328677471
2021-12-04,162.80159299462892
2021-12-12,201.63993269335936
2021-12-27,221.2313268524893
2021-12-28,180.29329624780632
2022-01-04,219.63896982429893
2022-01-05,193.98019852264403
2022-01-13,206.29468168621827
2022-01-29,201.169670166687
2022-02-21,189.90761800966268
2022-02-22,177.3317439619581
2022-03-01,185.59719855340575
2022-03-17,189.1456101488456
