fecha,area_km2,pct_visible,satelite
2013-03-22,295.70962959469387,98.74944110168053,LANDSAT_8
2013-06-28,52.476958769673914,77.51462558521123,LANDSAT_8
2013-07-23,275.62108736295863,72.83353891238988,LANDSAT_8
2013-07-30,264.37316783407266,90.218648927195,LANDSAT_8
2013-08-08,247.83385707845676,78.20294367672334,LANDSAT_8
2013-08-08,281.6504093860763,80.66986721582929,LANDSAT_8
2013-08-15,241.5329057809647,88.33045412556349,LANDSAT_8
2013-08-31,76.81100045604033,73.70742834463718,LANDSAT_8
2013-10-02,366.27993202393117,88.86741670919179,LANDSAT_8
2013-11-03,364.8696146225785,90.19029677658456,LANDSAT_8
2013-11-28,300.2595006459159,79.25098993331287,LANDSAT_8
2013-11-28,336.1752625126376,80.4705041215255,LANDSAT_8
2013-12-05,368.6300114581611,81.87128923226791,LANDSAT_8
2014-01-15,300.9621116788227,76.97521342016171,LANDSAT_8
2014-01-15,353.5877823411849,79.50722295722198,LANDSAT_8
2014-01-22,378.2148075207982,87.97559062415179,LANDSAT_8
2014-01-31,298.4041808717548,81.0413100917596,LANDSAT_8
2014-01-31,331.1162768660767,81.69788331462084,LANDSAT_8
2014-02-16,317.6693910071308,79.46750930012053,LANDSAT_8
2014-02-16,362.63620687377585,80.66349739665063,LANDSAT_8
2014-04-28,104.73044453855147,70.72418251076061,LANDSAT_8
2014-05-07,727.9685354743581,70.47086323804254,LANDSAT_8
2014-06-15,279.20301676871884,77.90905801962671,LANDSAT_8
2014-07-26,329.15317576038086,72.49884730180507,LANDSAT_8
2014-08-11,292.57132850959925,73.57230124376066,LANDSAT_8
2014-08-11,333.41437212477774,75.40394816419398,LANDSAT_8
2014-08-27,283.09495305311685,70.74295758745282,LANDSAT_8
2014-08-27,335.45279411118076,73.97959919025183,LANDSAT_8
2014-10-05,380.3996067381023,90.8084249715916,LANDSAT_8
2014-10-14,303.77281659176265,77.25753095696001,LANDSAT_8
2014-10-14,354.84498622660396,79.90407815090035,LANDSAT_8
2014-11-15,269.01456237181395,74.14137375725028,LANDSAT_8
2014-11-15,259.8168037660317,72.45619937155678,LANDSAT_8
2015-02-19,263.1806761607522,70.48237406000705,LANDSAT_8
2015-02-19,307.7787013315462,72.19191616556036,LANDSAT_8
2015-02-26,367.1713335202819,89.49495736827213,LANDSAT_8
2015-03-30,367.46073648994724,89.10799079879264,LANDSAT_8
2015-07-13,303.4744566839489,78.31462901306352,LANDSAT_8
2015-07-13,353.83396666761575,80.89805584521321,LANDSAT_8
2015-07-29,289.8528826060542,75.34370041969957,LANDSAT_8
2015-07-29,342.91090852630555,78.36195372930968,LANDSAT_8
2015-08-14,281.09014707233166,73.88166037220135,LANDSAT_8
2015-08-14,331.70724511184574,76.88424380462082,LANDSAT_8
2015-09-06,320.86503815634404,70.60507066426179,LANDSAT_8
2015-09-22,362.2398888620601,79.8008162176416,LANDSAT_8
2015-10-01,257.74116542910275,72.19444520146328,LANDSAT_8
2015-10-01,276.61307070691106,72.83565488872408,LANDSAT_8
2015-11-02,239.0637150783464,73.29996341856219,LANDSAT_8
2015-11-02,231.5958016687651,72.04850176036669,LANDSAT_8
2015-12-27,370.0069418418269,91.89907932030192,LANDSAT_8
2016-01-21,292.65429101066536,76.60597242361749,LANDSAT_8
2016-01-21,321.13650694882824,77.32589283951306,LANDSAT_8
2016-01-28,213.1977853015204,81.5470736807572,LANDSAT_8
2016-02-06,251.6182898274766,71.4557904232363,LANDSAT_8
2016-02-06,268.8148583454968,70.14878096605895,LANDSAT_8
2016-02-13,362.6639504842767,86.34914900785282,LANDSAT_8
2016-02-22,276.95760363277446,73.50465135509761,LANDSAT_8
2016-02-22,327.1430926772809,75.72239680170398,LANDSAT_8
2016-02-29,365.4920507423111,91.32315958179771,LANDSAT_8
2016-04-01,240.47982217303496,85.1865655594441,LANDSAT_8
2016-06-04,336.40941868035947,91.00365402364702,LANDSAT_8
2016-06-13,261.8589874233925,70.87875921394698,LANDSAT_8
2016-06-13,314.4009408721961,74.01130038310313,LANDSAT_8
2016-06-29,273.47433261746585,73.40752164364477,LANDSAT_8
2016-06-29,323.28381794391885,75.9785159097922,LANDSAT_8
2016-07-06,11.378133405474493,71.778562260419,LANDSAT_8
2016-07-15,278.2573950102178,74.56598355595784,LANDSAT_8
2016-07-15,328.1917970539588,77.06467903587937,LANDSAT_8
2016-09-08,307.1445478306849,90.91428687404637,LANDSAT_8
2016-09-24,332.56934634542296,77.2981103048009,LANDSAT_8
2016-10-26,341.618484331276,79.58543049135342,LANDSAT_8
2016-11-20,279.3674538160935,77.16533559897589,LANDSAT_8
2016-11-20,293.4448470898557,77.01355886526554,LANDSAT_8
2016-11-27,353.8032369951086,90.48557083790554,LANDSAT_8
2016-12-13,355.3830572672644,91.46682978158371,LANDSAT_8
2016-12-22,280.2021408111374,70.54073207094109,LANDSAT_8
2016-12-22,304.61555959186296,71.75243335050968,LANDSAT_8
2017-01-23,289.2677974791502,77.09073513141978,LANDSAT_8
2017-01-23,333.3046445319645,78.94755951971348,LANDSAT_8
2017-01-30,295.05551232532054,89.06056437181984,LANDSAT_8
2017-02-08,297.8933696053367,73.31793229452632,LANDSAT_8
2017-02-24,286.9591925005493,76.79856356708277,LANDSAT_8
2017-02-24,334.2469995002069,78.94149693453812,LANDSAT_8
2017-03-19,346.59138888751875,84.9792826516906,LANDSAT_8
2017-03-28,280.49792304364183,76.07122744481295,LANDSAT_8
2017-03-28,320.4943925123587,77.47139783762789,LANDSAT_8
2017-04-20,312.89282520431124,81.64707982338244,LANDSAT_8
2017-04-29,253.8176323874038,71.8767018742411,LANDSAT_8
2017-04-29,302.1143429295938,74.72379343492275,LANDSAT_8
2017-06-16,271.73051776824786,75.83225324928839,LANDSAT_8
2017-06-16,315.91878006730775,78.146547242633,LANDSAT_8
2017-06-23,322.06094289657113,93.60225292056987,LANDSAT_8
2017-07-18,299.2006461619068,72.44151588981403,LANDSAT_8
2017-08-03,263.5795394276123,74.66279617806599,LANDSAT_8
2017-08-03,303.485557288643,76.76566646184668,LANDSAT_8
2017-08-19,260.62574527723365,74.98577549535281,LANDSAT_8
2017-08-19,305.24884416862614,77.56978871402744,LANDSAT_8
2017-08-26,179.57870067373716,77.49278663675861,LANDSAT_8
2017-09-20,261.33408980773925,73.87592345522488,LANDSAT_8
2017-09-20,305.471592923349,76.45234995281376,LANDSAT_8
2017-10-29,327.0988269254841,88.658737620332,LANDSAT_8
2017-11-07,269.81048882051306,79.05961012950605,LANDSAT_8
2017-11-07,303.7864454910347,80.3201018470348,LANDSAT_8
2017-11-23,267.38080865748196,74.78774444476622,LANDSAT_8
2017-11-23,310.93489821922446,76.75462502201582,LANDSAT_8
2017-11-30,321.5892457332511,82.06790026254737,LANDSAT_8
2017-12-09,183.43142638557032,70.12113288186296,LANDSAT_8
2018-01-10,267.00239146839505,76.78578724918135,LANDSAT_8
2018-01-10,305.7169811371692,78.31778221397124,LANDSAT_8
